"ac1.frequency";"ac1.rs_val";"r ngspice/ac1.ac.gain";"i ngspice/ac1.ac.gain"
114505;1000;-286.563;0
131113;1000;-285.428;0
150131;1000;-284.303;0
171907;1000;-283.191;0
196842;1000;-282.094;0
225393;1000;-281.013;0
258086;1000;-279.949;0
295521;1000;-278.901;0
338386;1000;-277.869;0
387468;1000;-276.849;0
443669;1000;-275.836;0
508022;1000;-274.825;0
581709;1000;-273.81;0
666085;1000;-272.785;0
762699;1000;-271.747;0
873326;1000;-270.693;0
1e+06;1000;-269.622;0
1;1000;-1.9256;0
1.14505;1000;-1.92562;0
1.31113;1000;-1.92564;0
1.50131;1000;-1.92567;0
1.71907;1000;-1.92571;0
1.96842;1000;-1.92576;0
2.25393;1000;-1.92583;0
2.58086;1000;-1.92592;0
2.95521;1000;-1.92604;0
3.38386;1000;-1.92619;0
3.87468;1000;-1.92639;0
4.43669;1000;-1.92666;0
5.08022;1000;-1.92701;0
5.81709;1000;-1.92746;0
6.66085;1000;-1.92806;0
7.62699;1000;-1.92884;0
8.73326;1000;-1.92987;0
10;1000;-1.93121;0
11.4505;1000;-1.93298;0
13.1113;1000;-1.93529;0
15.0131;1000;-1.93832;0
17.1907;1000;-1.94229;0
19.6842;1000;-1.94749;0
22.5393;1000;-1.95431;0
25.8086;1000;-1.96323;0
29.5521;1000;-1.97491;0
33.8386;1000;-1.99019;0
38.7468;1000;-2.01016;0
44.3669;1000;-2.03625;0
50.8022;1000;-2.0703;0
58.1709;1000;-2.11465;0
66.6085;1000;-2.17233;0
76.2699;1000;-2.24715;0
87.3326;1000;-2.34391;0
100;1000;-2.46856;0
114.505;1000;-2.62839;0
131.113;1000;-2.83213;0
150.131;1000;-3.09002;0
171.907;1000;-3.41382;0
196.842;1000;-3.81667;0
225.393;1000;-4.31295;0
258.086;1000;-4.91829;0
295.521;1000;-5.6499;0
338.386;1000;-6.5279;0
387.468;1000;-7.57798;0
443.669;1000;-8.83694;0
508.022;1000;-10.3632;0
581.709;1000;-12.259;0
666.085;1000;-14.7237;0
762.699;1000;-18.2169;0
873.326;1000;-24.2299;0
1000;1000;-64.4903;0
1145.05;1000;-23.9357;0
1311.13;1000;-17.8781;0
1501.31;1000;-14.2868;0
1719.07;1000;-11.7121;0
1968.42;1000;-9.70263;0
2253.93;1000;-8.06164;0
2580.86;1000;-6.68808;0
2955.21;1000;-5.52459;0
3383.86;1000;-4.53585;0
3874.68;1000;-3.69799;0
4436.69;1000;-2.99293;0
5080.22;1000;-2.40531;0
5817.09;1000;-1.92089;0
6660.85;1000;-1.52604;0
7626.99;1000;-1.20764;0
8733.26;1000;-0.953438;0
10000;1000;-0.752235;0
11450.5;1000;-0.59416;0
13111.3;1000;-0.470732;0
15013.1;1000;-0.374839;0
17190.7;1000;-0.300639;0
19684.2;1000;-0.243407;0
22539.3;1000;-0.19937;0
25808.6;1000;-0.165551;0
29552.1;1000;-0.139613;0
33838.6;1000;-0.119738;0
38746.8;1000;-0.104513;0
44366.9;1000;-0.0928478;0
50802.2;1000;-0.083901;0
58170.9;1000;-0.0770234;0
66608.5;1000;-0.0717141;0
76269.9;1000;-0.0675857;0
87332.6;1000;-0.0643364;0
100000;1000;-0.0617296;0
114505;1000;-0.0595764;0
131113;1000;-0.0577231;0
150131;1000;-0.0560411;0
171907;1000;-0.0544195;0
196842;1000;-0.0527602;0
225393;1000;-0.0509747;0
258086;1000;-0.0489842;0
295521;1000;-0.0467225;0
338386;1000;-0.0441412;0
387468;1000;-0.0412174;0
443669;1000;-0.0379615;0
508022;1000;-0.0344226;0
581709;1000;-0.0306879;0
666085;1000;-0.0268746;0
762699;1000;-0.0231144;0
873326;1000;-0.0195339;0
1e+06;1000;-0.0162378;0
1;1000;-1.92579;0
1.14505;1000;-1.92581;0
1.31113;1000;-1.92583;0
1.50131;1000;-1.92586;0
1.71907;1000;-1.9259;0
1.96842;1000;-1.92596;0
2.25393;1000;-1.92602;0
2.58086;1000;-1.92611;0
2.95521;1000;-1.92623;0
3.38386;1000;-1.92639;0
3.87468;1000;-1.92659;0
4.43669;1000;-1.92685;0
5.08022;1000;-1.9272;0
