"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
1.1206e+06;3.67114e-07;-2.16044e-07
1.12793e+06;-1.50987e-07;-2.02604e-07
1.13525e+06;-2.77006e-07;-9.18787e-08
1.14258e+06;7.02019e-08;4.40251e-07
1.1499e+06;1.98569e-07;-2.53271e-07
1.15722e+06;-1.5045e-07;-8.0425e-08
1.16455e+06;-6.60931e-08;1.91691e-07
1.17187e+06;1.03688e-07;-6.94318e-08
1.1792e+06;3.77249e-08;1.34507e-08
1.18652e+06;-1.45577e-07;-1.49306e-07
1.19385e+06;-1.38801e-07;3.2858e-07
1.20117e+06;4.13902e-07;2.47172e-08
1.20849e+06;-8.83356e-08;-1.50484e-07
1.21582e+06;1.19936e-07;-1.58746e-07
1.22314e+06;-2.80671e-07;6.60677e-08
1.23047e+06;1.627e-07;-9.35218e-10
1.23779e+06;-1.60114e-07;2.6012e-09
1.24511e+06;1.54293e-07;2.13243e-07
1.25244e+06;1.99442e-07;-3.92101e-07
1.25976e+06;-4.22617e-07;1.96278e-09
1.26709e+06;1.4386e-08;1.92108e-07
1.27441e+06;9.17081e-08;2.81316e-08
1.28174e+06;-5.9527e-08;5.44285e-08
1.28906e+06;1.83337e-07;8.97879e-09
1.29638e+06;-1.46553e-08;-8.2297e-08
1.30371e+06;3.00695e-08;-1.611e-07
1.31103e+06;-3.4446e-07;2.92475e-08
1.31836e+06;6.52825e-08;2.91793e-07
1.32568e+06;2.60435e-07;1.44188e-07
1.33301e+06;2.01729e-07;-4.44181e-07
1.34033e+06;-5.13351e-07;-6.79996e-09
1.34765e+06;2.34078e-07;4.80475e-07
1.35498e+06;2.3785e-07;-4.2861e-07
1.3623e+06;-1.79966e-07;2.65632e-08
1.36963e+06;-1.43532e-07;-7.04698e-08
1.37695e+06;9.24201e-08;1.67315e-07
1.38427e+06;-6.96406e-08;-6.6302e-08
1.3916e+06;4.3943e-08;-2.25186e-08
1.39892e+06;-1.6677e-07;1.45443e-07
1.40625e+06;2.78055e-07;1.53458e-07
1.41357e+06;1.44484e-07;-4.36634e-07
1.4209e+06;-4.97448e-07;3.04876e-07
1.42822e+06;6.48674e-07;-2.14375e-07
1.43554e+06;-7.87054e-07;-6.03553e-08
1.44287e+06;5.0165e-07;4.60352e-07
1.45019e+06;4.37162e-09;-4.96063e-07
1.45752e+06;-3.12127e-07;2.43506e-07
1.46484e+06;2.98978e-07;8.94808e-08
1.47217e+06;2.68998e-08;-2.38739e-07
1.47949e+06;-4.05505e-07;3.23276e-08
1.48681e+06;4.88435e-07;4.41593e-07
1.49414e+06;-8.58122e-08;-6.56373e-07
1.50146e+06;-1.33769e-07;2.46917e-07
1.50879e+06;-1.8083e-07;-3.24747e-08
1.51611e+06;1.89177e-07;2.3945e-07
1.52343e+06;1.07769e-07;-1.25027e-07
1.53076e+06;-3.12486e-08;-1.82229e-07
1.53808e+06;-3.13178e-07;5.45923e-08
1.54541e+06;2.5929e-07;4.35808e-07
1.55273e+06;2.04901e-07;-5.05357e-07
1.56006e+06;-2.5748e-07;7.40979e-08
1.56738e+06;-1.71984e-07;-2.37499e-08
1.5747e+06;1.6518e-07;4.20773e-07
1.58203e+06;2.25369e-07;-4.06353e-07
1.58935e+06;-2.79032e-07;1.21134e-07
1.59668e+06;1.01413e-07;2.69129e-08
1.604e+06;1.31973e-07;2.53468e-08
1.61132e+06;-8.35126e-08;-1.70659e-07
1.61865e+06;4.78777e-09;5.41154e-09
1.62597e+06;-1.89729e-07;-4.69126e-09
1.6333e+06;1.389e-07;2.23261e-07
1.64062e+06;1.05125e-07;-2.32264e-07
1.64795e+06;-2.1527e-07;-1.02708e-07
1.65527e+06;-1.80354e-07;3.34586e-07
1.66259e+06;4.05521e-07;5.97728e-08
1.66992e+06;-1.19057e-07;-3.20462e-07
1.67724e+06;-8.7319e-08;3.95649e-07
1.68457e+06;4.03198e-07;-3.99548e-07
1.69189e+06;-5.31553e-07;1.16097e-08
1.69922e+06;1.84424e-07;2.10982e-07
1.70654e+06;-4.08044e-08;6.46978e-09
1.71386e+06;2.83739e-07;1.75343e-08
1.72119e+06;-2.63411e-07;-3.2693e-07
1.72851e+06;-5.31278e-09;4.82212e-07
1.73584e+06;3.7901e-07;-4.255e-07
1.74316e+06;-5.57854e-07;8.75861e-08
1.75048e+06;4.2469e-07;1.22875e-07
1.75781e+06;-2.18805e-07;-2.3142e-07
1.76513e+06;-1.23719e-07;9.98819e-08
1.77246e+06;2.26257e-09;2.94754e-07
1.77978e+06;5.48012e-07;-1.2956e-07
1.78711e+06;-5.51158e-07;-4.97373e-07
1.79443e+06;9.34385e-09;5.54739e-07
1.80175e+06;1.56082e-07;-7.08032e-08
1.80908e+06;3.06841e-08;-2.20768e-07
1.8164e+06;-2.78713e-07;2.47052e-07
1.82373e+06;3.80619e-07;7.38847e-08
1.83105e+06;-1.81039e-08;-2.76634e-07
1.83838e+06;-2.32312e-07;-6.19065e-08
1.8457e+06;-1.60771e-08;3.6831e-07
1.85302e+06;3.30912e-07;-2.57308e-07
1.86035e+06;-3.53035e-07;-7.08113e-08
1.86767e+06;1.13213e-07;2.29612e-07
1.875e+06;-3.77138e-08;-1.69661e-07
1.88232e+06;3.91023e-08;3.06952e-07
1.88964e+06;2.84431e-07;-3.2291e-07
1.89697e+06;-4.30461e-07;-9.23351e-08
1.90429e+06;1.5363e-07;3.01514e-07
1.91162e+06;-1.04285e-07;-1.02563e-07
1.91894e+06;3.72572e-07;1.5674e-07
1.92627e+06;-3.3985e-07;-4.78278e-07
1.93359e+06;3.4353e-08;6.16901e-07
1.94091e+06;2.78521e-07;-4.902e-07
1.94824e+06;-2.85995e-07;2.08339e-07
1.95556e+06;1.18596e-07;-2.75548e-07
1.96289e+06;-3.88348e-07;4.07916e-07
1.97021e+06;6.47065e-07;-3.7873e-09
1.97754e+06;-3.33271e-07;-3.93376e-07
1.98486e+06;-2.18164e-08;2.60424e-07
1.99218e+06;-5.3804e-08;-7.28538e-08
1.99951e+06;1.56311e-07;1.96367e-07
2.00683e+06;-9.43311e-08;-2.85731e-07
2.01416e+06;9.60254e-08;3.08367e-07
2.02148e+06;-3.77685e-08;-3.0098e-07
2.0288e+06;3.71111e-08;8.89794e-08
2.03613e+06;-2.23211e-07;1.75487e-08
2.04345e+06;1.59272e-07;9.45544e-08
2.05078e+06;1.32983e-07;7.84916e-08
2.0581e+06;-6.72026e-08;-3.73641e-07
2.06543e+06;-1.35864e-07;3.1557e-07
2.07275e+06;2.18051e-07;-9.47725e-08
2.08007e+06;-1.32215e-07;-1.46241e-07
2.0874e+06;5.63584e-08;8.12908e-08
2.09472e+06;-2.92118e-07;-9.06512e-08
2.10205e+06;2.61338e-07;2.15962e-07
2.10937e+06;-2.34674e-07;-8.87545e-08
2.11669e+06;1.38503e-07;1.75575e-07
2.12402e+06;2.73119e-07;5.16534e-08
2.13134e+06;-1.48251e-07;-5.42251e-07
2.13867e+06;-2.6881e-07;5.00782e-07
2.14599e+06;3.59302e-07;-2.15926e-07
2.15332e+06;-2.69081e-07;3.10261e-08
2.16064e+06;3.68181e-08;1.11884e-07
2.16796e+06;3.0188e-07;3.27204e-08
2.17529e+06;-2.17879e-07;-3.69351e-07
2.18261e+06;-1.09552e-07;2.38076e-07
2.18994e+06;-2.28265e-09;6.53639e-08
2.19726e+06;1.85228e-07;5.38686e-08
2.20459e+06;8.98133e-09;-1.84644e-07
2.21191e+06;-1.53593e-07;4.88358e-08
2.21923e+06;1.15867e-07;-2.8969e-08
2.22656e+06;-1.45999e-07;9.00897e-08
2.23388e+06;1.14224e-07;-8.53356e-08
2.24121e+06;-2.8097e-08;1.52922e-07
2.24853e+06;8.883e-08;-1.95791e-07
2.25585e+06;-1.18264e-07;4.23593e-08
2.26318e+06;2.17832e-08;-2.97431e-08
2.2705e+06;-1.51937e-07;4.19546e-10
2.27783e+06;-3.72561e-08;2.33879e-07
2.28515e+06;2.97211e-07;1.1949e-07
2.29248e+06;1.50575e-07;-2.93216e-07
2.2998e+06;-2.00421e-07;-1.69629e-07
2.30712e+06;-1.90606e-07;1.42426e-07
2.31445e+06;1.8472e-07;7.82747e-08
2.32177e+06;-1.99784e-07;-7.7449e-08
2.3291e+06;2.3488e-07;1.66659e-07
2.33642e+06;-2.34083e-07;-1.44563e-07
2.34375e+06;3.43543e-07;2.49248e-07
2.35107e+06;-1.60361e-07;-4.26743e-07
2.35839e+06;-1.17002e-07;2.54381e-07
2.36572e+06;7.73586e-08;6.15977e-08
2.37304e+06;1.38624e-07;-3.59299e-08
2.38037e+06;-2.06991e-08;-1.64055e-07
2.38769e+06;-1.08359e-07;9.57977e-08
2.39501e+06;1.7852e-08;-9.1364e-08
2.40234e+06;6.05957e-08;1.33318e-07
2.40966e+06;-1.62123e-07;-2.05261e-07
2.41699e+06;9.16857e-08;3.24954e-07
2.42431e+06;1.26131e-07;-2.50867e-07
2.43164e+06;-1.66298e-07;8.7565e-09
2.43896e+06;-2.01936e-08;4.57236e-08
2.44628e+06;5.01015e-08;1.67943e-07
2.45361e+06;2.9655e-07;-2.11109e-07
2.46093e+06;-5.02161e-07;-2.65473e-07
2.46826e+06;1.7718e-07;5.87327e-07
2.47558e+06;7.05422e-08;-4.72708e-07
2.48291e+06;-1.62816e-07;1.69608e-07
2.49023e+06;-1.90544e-07;1.49689e-07
2.49755e+06;4.16145e-07;2.35843e-07
2.50488e+06;9.71512e-08;-2.74796e-07
