"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
1.1206e+06;5.81434e-07;-4.39642e-07
1.12793e+06;-3.50771e-07;8.81535e-08
1.13525e+06;-1.22561e-07;-5.03704e-07
1.14258e+06;-2.03785e-07;7.19976e-07
1.1499e+06;8.27605e-08;-2.18984e-07
1.15722e+06;3.53942e-07;3.76087e-07
1.16455e+06;2.10058e-07;-5.12221e-07
1.17187e+06;-4.36861e-07;-4.74475e-07
1.1792e+06;-4.21563e-07;5.92672e-07
1.18652e+06;1.68308e-07;2.02707e-07
1.19385e+06;3.94733e-07;-4.5361e-08
1.20117e+06;-3.87934e-07;2.61726e-08
1.20849e+06;5.78303e-07;1.73155e-07
1.21582e+06;-4.5431e-08;-3.42443e-07
1.22314e+06;7.56152e-08;-3.744e-07
1.23047e+06;-7.93761e-07;1.3539e-07
1.23779e+06;4.33142e-07;3.57532e-07
1.24511e+06;-2.17718e-07;-6.85425e-08
1.25244e+06;2.79898e-07;2.60558e-07
1.25976e+06;1.76993e-07;-3.04496e-07
1.26709e+06;-2.39782e-07;-2.58978e-08
1.27441e+06;1.04147e-07;1.3152e-07
1.28174e+06;2.05574e-07;-2.63631e-07
1.28906e+06;-6.41963e-07;-5.28787e-08
1.29638e+06;5.09307e-07;5.20821e-07
1.30371e+06;-2.54018e-08;-5.53348e-07
1.31103e+06;-3.25755e-07;7.96452e-08
1.31836e+06;1.1097e-07;3.4098e-07
1.32568e+06;1.05453e-07;-2.2207e-07
1.33301e+06;-8.87681e-08;8.95947e-08
1.34033e+06;1.12869e-07;-8.41587e-08
1.34765e+06;-3.45228e-07;2.13144e-07
1.35498e+06;7.63666e-07;-1.66439e-08
1.3623e+06;-6.29383e-07;-4.8714e-07
1.36963e+06;-3.59923e-08;5.72374e-07
1.37695e+06;4.77101e-07;-7.83968e-08
1.38427e+06;-2.12221e-07;-2.97658e-07
1.3916e+06;-4.35162e-08;3.26193e-08
1.39892e+06;-1.69281e-07;8.98076e-08
1.40625e+06;1.37089e-07;1.89107e-07
1.41357e+06;1.62299e-07;-1.45779e-07
1.4209e+06;6.20765e-09;-1.02241e-07
1.42822e+06;-3.16309e-07;-1.52821e-07
1.43554e+06;1.1179e-07;4.23631e-07
